PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
708,1,"Calderhead, Mr. Edward Pennington",male,42.0,0,0,PC 17476,26.2875,E24,S,1
38,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,,S,0
616,2,"Herman, Miss. Alice",female,24.0,1,2,220845,65.0,,S,1
170,3,"Ling, Mr. Lee",male,28.0,0,0,1601,56.4958,,S,0
69,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,,S,1
607,3,"Karaic, Mr. Milan",male,30.0,0,0,349246,7.8958,,S,0
631,1,"Barkworth, Mr. Algernon Henry Wilson",male,80.0,0,0,27042,30.0,A23,S,1
786,3,"Harmer, Mr. Abraham (David Lishin)",male,25.0,0,0,374887,7.25,,S,0
661,1,"Frauenthal, Dr. Henry William",male,50.0,2,0,PC 17611,133.65,,S,1
729,2,"Bryhl, Mr. Kurt Arnold Gottfrid",male,25.0,1,0,236853,26.0,,S,0
21,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,,S,0
487,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35.0,1,0,19943,90.0,C93,S,1
16,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,,S,1
693,3,"Lam, Mr. Ali",male,,0,0,1601,56.4958,,S,1
644,3,"Foo, Mr. Choong",male,,0,0,1601,56.4958,,S,1
193,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,350046,7.8542,,S,1
66,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,1
598,3,"Johnson, Mr. Alfred",male,49.0,0,0,LINE,0.0,,S,0
703,3,"Barbara, Miss. Saiide",female,18.0,0,1,2691,14.4542,,C,0
281,3,"Duane, Mr. Frank",male,65.0,0,0,336439,7.75,,Q,0
506,1,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,1,0,PC 17758,108.9,C65,C,0
129,3,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C,1
334,3,"Vander Planke, Mr. Leo Edmondus",male,16.0,2,0,345764,18.0,,S,0
403,3,"Jussila, Miss. Mari Aina",female,21.0,1,0,4137,9.825,,S,0
144,3,"Burke, Mr. Jeremiah",male,19.0,0,0,365222,6.75,,Q,0
173,3,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,347742,11.1333,,S,1
459,2,"Toomey, Miss. Ellen",female,50.0,0,0,F.C.C. 13531,10.5,,S,1
138,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,C123,S,0
356,3,"Vanden Steen, Mr. Leo Peter",male,28.0,0,0,345783,9.5,,S,0
318,2,"Moraweck, Dr. Ernest",male,54.0,0,0,29011,14.0,,S,0
841,3,"Alhomaki, Mr. Ilmari Rudolf",male,20.0,0,0,SOTON/O2 3101287,7.925,,S,0
180,3,"Leonard, Mr. Lionel",male,36.0,0,0,LINE,0.0,,S,0
814,3,"Andersson, Miss. Ebba Iris Alfrida",female,6.0,4,2,347082,31.275,,S,0
186,1,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50.0,A32,S,0
210,1,"Blank, Mr. Henry",male,40.0,0,0,112277,31.0,A31,C,1
618,3,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,26.0,1,0,A/5. 3336,16.1,,S,0
521,1,"Perreault, Miss. Anne",female,30.0,0,0,12749,93.5,B73,S,1
387,3,"Goodwin, Master. Sidney Leonard",male,1.0,5,2,CA 2144,46.9,,S,0
336,3,"Denkoff, Mr. Mitto",male,,0,0,349225,7.8958,,S,0
813,2,"Slemen, Mr. Richard James",male,35.0,0,0,28206,10.5,,S,0
466,3,"Goncalves, Mr. Manuel Estanslas",male,38.0,0,0,SOTON/O.Q. 3101306,7.05,,S,0
161,3,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362,16.1,,S,0
142,3,"Nysten, Miss. Anna Sofia",female,22.0,0,0,347081,7.75,,S,1
372,3,"Wiklund, Mr. Jakob Alfred",male,18.0,1,0,3101267,6.4958,,S,0
653,3,"Kalvik, Mr. Johannes Halvorsen",male,21.0,0,0,8475,8.4333,,S,0
558,1,"Robbins, Mr. Victor",male,,0,0,PC 17757,227.525,,C,0
628,1,"Longley, Miss. Gretchen Fiske",female,21.0,0,0,13502,77.9583,D9,S,1
159,3,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,,S,0
554,3,"Leeni, Mr. Fahim (""Philip Zenni"")",male,22.0,0,0,2620,7.225,,C,1
718,2,"Troutt, Miss. Edwina Celia ""Winnie""",female,27.0,0,0,34218,10.5,E101,S,1
564,3,"Simmons, Mr. John",male,,0,0,SOTON/OQ 392082,8.05,,S,0
858,1,"Daly, Mr. Peter Denis ",male,51.0,0,0,113055,26.55,E17,S,1
849,2,"Harper, Rev. John",male,28.0,0,1,248727,33.0,,S,0
463,1,"Gee, Mr. Arthur H",male,47.0,0,0,111320,38.5,E63,S,0
71,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,,S,0
713,1,"Taylor, Mr. Elmer Zebley",male,48.0,1,0,19996,52.0,C126,S,1
420,3,"Van Impe, Miss. Catharina",female,10.0,0,2,345773,24.15,,S,0
837,3,"Pasic, Mr. Jakob",male,21.0,0,0,315097,8.6625,,S,0
632,3,"Lundahl, Mr. Johan Svensson",male,51.0,0,0,347743,7.0542,,S,0
383,3,"Tikkanen, Mr. Juho",male,32.0,0,0,STON/O 2. 3101293,7.925,,S,0
866,2,"Bystrom, Mrs. (Karolina)",female,42.0,0,0,236852,13.0,,S,1
341,2,"Navratil, Master. Edmond Roger",male,2.0,1,1,230080,26.0,F2,S,1
615,3,"Brocklebank, Mr. William Alfred",male,35.0,0,0,364512,8.05,,S,0
251,3,"Reed, Mr. James George",male,,0,0,362316,7.25,,S,0
206,3,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054,10.4625,G6,S,0
753,3,"Vande Velde, Mr. Johannes Joseph",male,33.0,0,0,345780,9.5,,S,0
863,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,48.0,0,0,17466,25.9292,D17,S,1
493,1,"Molson, Mr. Harry Markland",male,55.0,0,0,113787,30.5,C30,S,0
165,3,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295,39.6875,,S,0
722,3,"Jensen, Mr. Svend Lauritz",male,17.0,1,0,350048,7.0542,,S,0
143,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279,15.85,,S,1
852,3,"Svensson, Mr. Johan",male,74.0,0,0,347060,7.775,,S,0
110,3,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q,1
757,3,"Carlsson, Mr. August Sigfrid",male,28.0,0,0,350042,7.7958,,S,0
316,3,"Nilsson, Miss. Helmina Josefina",female,26.0,0,0,347470,7.8542,,S,1
184,2,"Becker, Master. Richard F",male,1.0,2,1,230136,39.0,F4,S,1
205,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540,8.05,,S,1
194,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,F2,S,1
557,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,1,0,11755,39.6,A16,C,1
75,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,,S,1
292,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1,0,11967,91.0792,B49,C,1
603,1,"Harrington, Mr. Charles H",male,,0,0,113796,42.4,,S,0
673,2,"Mitchell, Mr. Henry Michael",male,70.0,0,0,C.A. 24580,10.5,,S,0
100,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,,S,0
582,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,39.0,1,1,17421,110.8833,C68,C,1
85,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,,S,1
472,3,"Cacic, Mr. Luka",male,38.0,0,0,315089,8.6625,,S,0
385,3,"Plotcharsky, Mr. Vasil",male,,0,0,349227,7.8958,,S,0
727,2,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",female,30.0,3,0,31027,21.0,,S,1
343,2,"Collander, Mr. Erik Gustaf",male,28.0,0,0,248740,13.0,,S,0
